"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
155,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
155,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
155,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
155,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
155,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
155,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
155,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
156,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
156,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
156,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
156,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
156,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
156,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
156,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
157,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
157,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
157,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
157,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
157,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
157,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
157,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
158,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
158,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
158,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
158,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
158,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
158,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
158,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
159,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
159,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
159,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
159,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
159,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
159,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
159,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
160,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
160,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
160,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
160,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
160,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
160,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
160,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
161,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
161,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
161,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
